Mon May 30 14:42:21 2022    profile.prof

         882669 function calls (823570 primitive calls) in 4.464 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.001    0.001 =\lib\site-packages\tensorflow_estimator\python\estimator\estimator_lib.py:15(<module>)
      180    0.000    0.000    0.000    0.000 =\lib\site-packages\tensorflow_core\python\keras\engine\base_layer.py:1970(<listcomp>)
      160    0.000    0.000    0.000    0.000 =\lib\site-packages\tensorflow_core\python\pywrap_tensorflow_internal.py:2590(IsAttrs)
       24    0.000    0.000    0.000    0.000 {built-in method _pywrap_tensorflow_internal.TF_AddInput}
        1    0.000    0.000    0.000    0.000 =\lib\site-packages\tensorflow_core\contrib\seq2seq\python\ops\attention_wrapper.py:753(LuongAttentionV2)
        1    0.000    0.000    0.000    0.000 =\lib\site-packages\tensorflow_estimator\python\estimator\api\_v1\estimator\__init__.py:4(<module>)
       32    0.000    0.000    0.002    0.000 =\lib\site-packages\tensorflow_core\python\ops\gen_math_ops.py:11890(sub)
       29    0.000    0.000    0.000    0.000 =\lib\site-packages\tensorflow_core\python\ops\distributions\distribution.py:78(_copy_fn)
       17    0.000    0.000    0.000    0.000 =\lib\enum.py:841(__and__)
        4    0.000    0.000    0.002    0.001 =\lib\site-packages\tensorflow_core\python\framework\func_graph.py:1065(_get_defun_inputs)
       72    0.000    0.000    0.000    0.000 =\lib\site-packages\tensorflow_core\python\framework\ops.py:5650(executing_eagerly_outside_functions)
      298    0.000    0.000    0.000    0.000 {method '__contains__' of 'frozenset' objects}
        1    0.000    0.000    0.053    0.053 =\lib\site-packages\tensorflow_core\contrib\rnn\python\ops\rnn_cell.py:15(<module>)
        1    0.000    0.000    0.000    0.000 =\lib\site-packages\tensorflow_core\contrib\learn\python\learn\datasets\mnist.py:20(<module>)
        8    0.000    0.000    0.000    0.000 =\lib\site-packages\numpy\core\numeric.py:2287(array_equal)
       16    0.000    0.000    0.000    0.000 =\lib\warnings.py:470(__enter__)
       40    0.000    0.000    0.000    0.000 =\lib\site-packages\tensorflow_core\python\keras\engine\network.py:419(<genexpr>)
      393    0.000    0.000    0.000    0.000 {method 'span' of 're.Match' objects}
       12    0.000    0.000    0.005    0.000 =\lib\site-packages\tensorflow_core\python\ops\math_ops.py:1191(_add_dispatch)
      196    0.000    0.000    0.000    0.000 =\lib\site-packages\tensorflow_core\python\framework\ops.py:3117(_get_control_flow_context)
       16    0.000    0.000    0.003    0.000 =\lib\site-packages\tensorflow_core\python\ops\array_ops.py:176(identity)
       16    0.000    0.000    0.002    0.000 =\lib\site-packages\tensorflow_core\python\ops\gen_array_ops.py:4943(identity)
       42    0.000    0.000    0.000    0.000 =\lib\site-packages\tensorflow_core\python\eager\tape.py:135(record_operation)
       77    0.000    0.000    0.000    0.000 =\lib\site-packages\google\protobuf\symbol_database.py:69(RegisterMessage)
        1    0.000    0.000    0.051    0.051 =\lib\site-packages\tensorflow_core\contrib\layers\__init__.py:109(<module>)
       32    0.000    0.000    0.000    0.000 =\lib\site-packages\tensorflow_core\python\framework\ops.py:3799(_get_tensor_by_tf_output)
      388    0.000    0.000    0.000    0.000 =\lib\site-packages\tensorflow_core\python\framework\ops.py:4987(_colocation_stack)
       22    0.000    0.000    0.000    0.000 =\lib\site-packages\tensorflow_core\python\autograph\pyct\cfg.py:192(reset)
       16    0.000    0.000    0.005    0.000 =\lib\site-packages\gast\gast.py:239(parse)
       51    0.000    0.000    0.000    0.000 =\lib\site-packages\tensorflow_core\python\autograph\pyct\cfg.py:309(_connect_nodes)
       10    0.000    0.000    0.000    0.000 {built-in method _pywrap_tensorflow_internal.TFE_OpNameGetAttrType}
        1    0.000    0.000    0.128    0.128 =\lib\site-packages\tensorflow_core\contrib\learn\python\learn\estimators\__init__.py:295(<module>)
      220    0.000    0.000    0.000    0.000 =\lib\site-packages\tensorflow_core\python\keras\engine\base_layer.py:908(name)
       28    0.000    0.000    0.005    0.000 =\lib\site-packages\tensorflow_core\python\ops\gen_math_ops.py:11959(_sum)
        1    0.000    0.000    0.001    0.001 =\lib\site-packages\tensorflow_core\contrib\image\ops\gen_image_ops.py:4(<module>)
        4    0.000    0.000    0.004    0.001 =\lib\site-packages\tensorflow_core\python\ops\math_ops.py:3253(cumsum)
      208    0.000    0.000    0.000    0.000 =\lib\site-packages\tensorflow_core\python\framework\ops.py:647(value_index)
        1    0.000    0.000    0.012    0.012 =\lib\site-packages\tensorflow_core\contrib\factorization\__init__.py:15(<module>)
        7    0.000    0.000    0.001    0.000 =\lib\site-packages\tensorflow_core\python\util\deprecation.py:426(deprecated_wrapper)
      124    0.000    0.000    0.000    0.000 =\lib\site-packages\tensorflow_core\python\autograph\pyct\static_analysis\reaching_definitions.py:124(init_state)
       20    0.000    0.000    0.003    0.000 =\lib\site-packages\tensorflow_core\python\ops\math_grad.py:1550(_MatMulGradAgainstSecondOnly)
       22    0.000    0.000    0.000    0.000 =\lib\site-packages\tensorflow_core\python\autograph\pyct\cfg.py:271(reset)
      102    0.000    0.000    0.000    0.000 =\lib\_weakrefset.py:81(add)
       42    0.000    0.000    0.001    0.000 =\lib\site-packages\tensorflow_core\python\training\tracking\data_structures.py:187(layers)
       72    0.000    0.000    0.000    0.000 =\lib\site-packages\tensorflow_core\python\ops\resource_variable_ops.py:542(constraint)
        1    0.000    0.000    0.007    0.007 =\lib\site-packages\tensorflow_core\contrib\metrics\__init__.py:79(<module>)
       22    0.000    0.000    0.000    0.000 =\lib\site-packages\tensorflow_core\python\autograph\pyct\cfg.py:193(<dictcomp>)
        1    0.000    0.000    0.001    0.001 =\lib\site-packages\tensorflow_core\contrib\layers\ops\gen_sparse_feature_cross_op.py:4(<module>)
        1    0.000    0.000    0.000    0.000 =\lib\enum.py:140(__new__)
      484    0.000    0.000    0.000    0.000 =\lib\site-packages\tensorflow_core\python\autograph\pyct\qual_names.py:108(has_subscript)
       64    0.000    0.000    0.004    0.000 =\lib\site-packages\tensorflow_core\python\ops\array_ops.py:424(shape)
      160    0.000    0.000    0.000    0.000 =\lib\site-packages\tensorflow_core\python\pywrap_tensorflow_internal.py:2534(IsCompositeTensor)
       46    0.000    0.000    0.000    0.000 =\lib\site-packages\tensorflow_core\python\eager\function.py:86(__hash__)
        4    0.000    0.000    0.006    0.002 =\lib\site-packages\tensorflow_core\python\ops\math_grad.py:1827(_CumprodGrad)
      232    0.000    0.000    0.000    0.000 =\lib\site-packages\tensorflow_core\python\keras\engine\base_layer.py:916(trainable)
       39    0.000    0.000    0.000    0.000 =\lib\sre_compile.py:249(_compile_charset)
       20    0.000    0.000    0.000    0.000 =\lib\site-packages\tensorflow_core\python\keras\utils\generic_utils.py:562(object_list_uid)
        1    0.000    0.000    0.016    0.016 =\lib\site-packages\tensorflow_core\contrib\timeseries\python\timeseries\__init__.py:15(<module>)
        1    0.000    0.000    0.002    0.002 =\lib\site-packages\tensorflow_core\contrib\framework\python\ops\variables.py:15(<module>)
       62    0.000    0.000    0.000    0.000 =\lib\_weakrefset.py:116(update)
      192    0.000    0.000    0.000    0.000 =\lib\site-packages\tensorflow_core\python\framework\ops.py:149(__init__)
        1    0.000    0.000    0.020    0.020 =\lib\site-packages\tensorflow_core\contrib\labeled_tensor\__init__.py:15(<module>)
      160    0.000    0.000    0.000    0.000 =\lib\site-packages\tensorflow_core\python\pywrap_tensorflow_internal.py:2547(IsTypeSpec)
      186    0.000    0.000    0.000    0.000 =\lib\_weakrefset.py:52(_commit_removals)
      192    0.000    0.000    0.000    0.000 =\lib\site-packages\tensorflow_core\python\framework\ops.py:155(__exit__)
        7    0.000    0.000    0.000    0.000 =\lib\site-packages\tensorflow_core\python\util\deprecation.py:100(_call_location)
       72    0.000    0.000    0.000    0.000 =\lib\site-packages\tensorflow_core\python\distribute\distribute_lib.py:1316(_container_strategy)
        1    0.000    0.000    0.001    0.001 =\lib\site-packages\tensorflow_core\contrib\rpc\python\ops\gen_rpc_op.py:4(<module>)
      189    0.000    0.000    0.000    0.000 =\lib\sre_parse.py:160(__len__)
        1    0.000    0.000    0.009    0.009 =\lib\site-packages\tensorflow_core\contrib\framework\__init__.py:101(<module>)
       16    0.000    0.000    0.000    0.000 =\lib\site-packages\tensorflow_core\python\framework\ops.py:488(_c_api_shape)
       16    0.000    0.000    0.001    0.000 =\lib\site-packages\tensorflow_core\python\ops\resource_variable_ops.py:605(_read_variable_op)
        4    0.000    0.000    0.001    0.000 =\lib\site-packages\tensorflow_core\python\ops\resource_variable_ops.py:762(assign_add)
       36    0.000    0.000    0.000    0.000 =\lib\site-packages\tensorflow_core\python\autograph\pyct\static_analysis\reaching_definitions.py:76(<dictcomp>)
      127    0.000    0.000    0.000    0.000 =\lib\sre_parse.py:286(tell)
       83    0.000    0.000    0.000    0.000 =\lib\site-packages\tensorflow_core\python\util\dispatch.py:167(add_dispatch_list)
      211    0.000    0.000    0.000    0.000 =\lib\sre_parse.py:249(match)
    44/19    0.000    0.000    0.000    0.000 =\lib\site-packages\tensorflow_core\python\autograph\pyct\templates.py:46(visit)
       16    0.000    0.000    0.000    0.000 =\lib\warnings.py:181(_add_filter)
        1    0.000    0.000    0.001    0.001 =\lib\site-packages\tensorflow_core\contrib\resampler\ops\gen_resampler_ops.py:4(<module>)
       94    0.000    0.000    0.000    0.000 =\lib\logging\__init__.py:1614(isEnabledFor)
      203    0.000    0.000    0.000    0.000 =\lib\site-packages\tensorflow_core\python\framework\dtypes.py:285(__hash__)
        4    0.000    0.000    0.010    0.002 =\lib\site-packages\tensorflow_core\python\eager\function.py:1012(__init__)
        1    0.000    0.000    0.004    0.004 =\lib\site-packages\tensorflow_core\contrib\nn\__init__.py:26(<module>)
      160    0.000    0.000    0.000    0.000 {built-in method _pywrap_tensorflow_internal.IsNamedtuple}
       16    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
       70    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:929(_sanity_check)
        1    0.000    0.000    0.001    0.001 =\lib\site-packages\tensorflow_core\contrib\factorization\python\ops\gen_factorization_ops.py:4(<module>)
       18    0.000    0.000    0.001    0.000 =\lib\site-packages\tensorflow_core\python\framework\func_graph.py:358(as_default)
      6/4    0.000    0.000    0.000    0.000 =\lib\site-packages\astor\code_gen.py:511(visit_Call)
        8    0.000    0.000    0.004    0.001 =\lib\site-packages\tensorflow_core\python\ops\math_ops.py:3305(cumprod)
      206    0.000    0.000    0.000    0.000 =\lib\site-packages\tensorflow_core\python\framework\tensor_shape.py:814(dims)
       20    0.000    0.000    0.000    0.000 =\lib\site-packages\tensorflow_core\python\eager\function.py:1918(__get__)
      194    0.000    0.000    0.000    0.000 =\lib\site-packages\tensorflow_core\python\framework\ops.py:5004(<dictcomp>)
        1    0.000    0.000    0.009    0.009 =\lib\site-packages\tensorflow_core\contrib\training\__init__.py:41(<module>)
      100    0.000    0.000    0.000    0.000 =\lib\sre_parse.py:111(__init__)
       94    0.000    0.000    0.000    0.000 =\lib\site-packages\tensorflow_core\python\platform\tf_logging.py:81(get_logger)
        1    0.000    0.000    0.003    0.003 =\lib\site-packages\tensorflow_core\contrib\learn\python\learn\utils\saved_model_export_utils.py:34(<module>)
       22    0.000    0.000    0.000    0.000 =\lib\weakref.py:165(__setitem__)
       72    0.000    0.000    0.000    0.000 =\lib\site-packages\tensorflow_core\python\distribute\distribute_lib.py:159(__enter__)
      192    0.000    0.000    0.000    0.000 =\lib\site-packages\tensorflow_core\python\framework\ops.py:152(__enter__)
      156    0.000    0.000    0.000    0.000 =\lib\site-packages\numpy\core\fromnumeric.py:2838(_prod_dispatcher)
        1    0.000    0.000    0.000    0.000 =\lib\site-packages\tensorflow_core\contrib\framework\python\ops\gen_variable_ops.py:4(<module>)
      360    0.000    0.000    0.000    0.000 =\lib\site-packages\tensorflow_core\python\ops\resource_variable_ops.py:1857(_ReadGrad)
       76    0.000    0.000    0.001    0.000 =\lib\site-packages\tensorflow_core\python\keras\optimizer_v2\optimizer_v2.py:485(<genexpr>)
      180    0.000    0.000    0.000    0.000 =\lib\site-packages\tensorflow_core\python\keras\engine\base_layer.py:688(compute_mask)
       77    0.000    0.000    0.000    0.000 =\lib\site-packages\google\protobuf\descriptor.py:289(__new__)
      100    0.000    0.000    0.000    0.000 =\lib\site-packages\tensorflow_core\python\eager\function.py:1169(<genexpr>)
       51    0.000    0.000    0.002    0.000 =\lib\site-packages\tensorflow_core\python\autograph\pyct\cfg.py:644(_process_basic_statement)
        1    0.000    0.000    0.059    0.059 =\lib\site-packages\tensorflow_core\contrib\learn\python\learn\estimators\linear.py:21(<module>)
        2    0.000    0.000    0.001    0.000 =\lib\inspect.py:935(getblock)
      206    0.000    0.000    0.000    0.000 =\lib\site-packages\tensorflow_core\python\util\nest.py:144(<genexpr>)
      366    0.000    0.000    0.000    0.000 {built-in method _CheckCalledFromGeneratedFile}
      192    0.000    0.000    0.000    0.000 =\lib\site-packages\tensorflow_core\python\framework\ops.py:3427(<listcomp>)
      484    0.000    0.000    0.000    0.000 =\lib\site-packages\tensorflow_core\python\autograph\pyct\qual_names.py:111(has_attr)
       40    0.000    0.000    0.000    0.000 =\lib\site-packages\tensorflow_core\python\eager\tape.py:146(could_possibly_record)
       20    0.000    0.000    0.000    0.000 =\lib\site-packages\tensorflow_core\python\eager\function.py:1654(_convert_numpy_inputs)
       51    0.000    0.000    0.000    0.000 =\lib\site-packages\tensorflow_core\python\autograph\pyct\cfg.py:367(add_ordinary_node)
       12    0.000    0.000    0.000    0.000 =\lib\site-packages\tensorflow_core\python\keras\optimizer_v2\optimizer_v2.py:523(_get_hyper)
        8    0.000    0.000    0.003    0.000 =\lib\site-packages\tensorflow_core\python\ops\math_ops.py:434(pow)
        1    0.000    0.000    0.047    0.047 =\lib\site-packages\tensorflow_core\contrib\learn\python\learn\estimators\dnn_linear_combined.py:21(<module>)
        4    0.000    0.000    0.001    0.000 =\lib\site-packages\tensorflow_core\python\distribute\distribute_lib.py:1508(<listcomp>)
        9    0.000    0.000    0.000    0.000 {method 'findall' of 're.Pattern' objects}
        1    0.000    0.000    0.000    0.000 =\lib\site-packages\tensorflow_core\contrib\periodic_resample\python\ops\gen_periodic_resample_op.py:4(<module>)
       60    0.000    0.000    0.000    0.000 =\lib\site-packages\tensorflow_core\python\eager\function.py:1138(<genexpr>)
        1    0.000    0.000    0.000    0.000 =\lib\site-packages\tensorflow_core\contrib\seq2seq\python\ops\sampler.py:493(GreedyEmbeddingSampler)
       47    0.000    0.000    0.000    0.000 =\lib\site-packages\tensorflow_core\python\autograph\core\converter.py:353(__init__)
        1    0.000    0.000    0.000    0.000 =\lib\site-packages\tensorflow_core\contrib\tensor_forest\python\ops\gen_tensor_forest_ops.py:4(<module>)
       45    0.000    0.000    0.000    0.000 =\lib\site-packages\tensorflow_core\python\eager\function.py:1833(input_signature)
        2    0.000    0.000    0.000    0.000 =\lib\site-packages\tensorflow_core\python\ops\gradients_util.py:71(_PendingCount)
        1    0.000    0.000    0.014    0.014 =\lib\site-packages\tensorflow_core\python\autograph\pyct\compiler.py:108(ast_to_object)
       72    0.000    0.000    0.000    0.000 =\lib\site-packages\tensorflow_core\python\eager\backprop.py:684(_handle_or_self)
        1    0.000    0.000    0.000    0.000 =\lib\site-packages\tensorflow_core\contrib\input_pipeline\ops\gen_input_pipeline_ops.py:4(<module>)
        1    0.000    0.000    0.003    0.003 =\lib\site-packages\tensorflow_core\contrib\specs\python\__init__.py:15(<module>)
       13    0.000    0.000    0.000    0.000 {method 'hexdigest' of '_hashlib.HASH' objects}
        1    0.000    0.000    0.000    0.000 =\lib\site-packages\tensorflow_core\contrib\slim\python\slim\learning.py:247(<module>)
      208    0.000    0.000    0.000    0.000 =\lib\site-packages\tensorflow_core\python\framework\traceable_stack.py:121(<genexpr>)
       22    0.000    0.000    0.000    0.000 =\lib\site-packages\tensorflow_core\python\autograph\pyct\cfg.py:196(<dictcomp>)
       30    0.000    0.000    0.000    0.000 =\lib\site-packages\tensorflow_core\python\autograph\pyct\transformer.py:100(__init__)
       72    0.000    0.000    0.001    0.000 =\lib\site-packages\tensorflow_core\python\distribute\distribute_lib.py:545(scope)
        1    0.000    0.000    0.033    0.033 =\lib\site-packages\tensorflow_core\contrib\tensor_forest\python\tensor_forest.py:15(<module>)
       40    0.000    0.000    0.000    0.000 {built-in method _pywrap_tensorflow_internal.TFE_Py_TapeSetIsEmpty}
       39    0.000    0.000    0.000    0.000 =\lib\ast.py:193(iter_child_nodes)
       60    0.000    0.000    0.000    0.000 =\lib\site-packages\tensorflow_core\python\autograph\pyct\static_analysis\activity.py:177(_in_constructor)
        4    0.000    0.000    0.188    0.047 =\lib\site-packages\tensorflow_core\python\distribute\distribute_lib.py:1942(_merge_call)
       19    0.000    0.000    0.000    0.000 =\lib\sre_parse.py:224(__init__)
        1    0.000    0.000    0.049    0.049 =\lib\site-packages\tensorflow_core\contrib\learn\python\learn\estimators\dnn.py:20(<module>)
      160    0.000    0.000    0.000    0.000 {built-in method _pywrap_tensorflow_internal.IsAttrs}
       20    0.000    0.000    0.000    0.000 =\lib\site-packages\tensorflow_core\python\util\tf_contextlib.py:25(contextmanager)
       14    0.000    0.000    0.000    0.000 =\lib\imp.py:48(new_module)
       20    0.000    0.000    0.001    0.000 =\lib\site-packages\tensorflow_core\python\ops\gen_math_ops.py:7298(neg)
       35    0.000    0.000    0.000    0.000 =\lib\site-packages\tensorflow_core\contrib\framework\python\ops\arg_scope.py:105(_add_op)
        1    0.000    0.000    0.036    0.036 =\lib\site-packages\tensorflow_core\contrib\tensor_forest\client\random_forest.py:15(<module>)
        1    0.000    0.000    0.008    0.008 =\lib\site-packages\tensorflow_core\contrib\image\python\ops\image_ops.py:15(<module>)
       32    0.000    0.000    0.000    0.000 =\lib\site-packages\tensorflow_core\python\ops\math_ops.py:1454(_may_reduce_to_scalar)
       60    0.000    0.000    0.000    0.000 =\lib\site-packages\tensorflow_core\python\framework\ops.py:426(shape)
        1    0.000    0.000    0.000    0.000 =\lib\site-packages\tensorflow_core\contrib\tpu\python\tpu\tpu_estimator.py:15(<module>)
       72    0.000    0.000    0.000    0.000 =\lib\site-packages\tensorflow_core\python\distribute\distribution_strategy_context.py:287(_get_default_strategy)
       46    0.000    0.000    0.000    0.000 =\lib\site-packages\tensorflow_core\python\ops\distributions\distribution.py:173(<listcomp>)
      160    0.000    0.000    0.000    0.000 {built-in method _pywrap_tensorflow_internal.IsCompositeTensor}
        1    0.000    0.000    0.000    0.000 =\lib\site-packages\tensorflow_estimator\contrib\estimator\python\estimator\replicate_model_fn.py:20(<module>)
       14    0.000    0.000    0.000    0.000 =\lib\site-packages\tensorflow_core\python\framework\ops.py:5239(control_dependencies)
       14    0.000    0.000    0.000    0.000 =\lib\site-packages\tensorflow_core\python\autograph\pyct\templates.py:111(__init__)
        4    0.000    0.000    0.001    0.000 =\lib\site-packages\tensorflow_core\python\ops\math_grad.py:558(_SquareGrad)
        1    0.000    0.000    0.002    0.002 =\lib\site-packages\tensorflow_core\contrib\metrics\python\ops\metric_ops.py:19(<module>)
       54    0.000    0.000    0.000    0.000 =\lib\site-packages\tensorflow_core\python\util\deprecation.py:79(<genexpr>)
       83    0.000    0.000    0.000    0.000 =\lib\site-packages\tensorflow_core\tools\docs\doc_controls.py:24(do_not_generate_docs)
       66    0.000    0.000    0.000    0.000 =\lib\site-packages\tensorflow_core\python\framework\ops.py:95(tensor_id)
       33    0.000    0.000    0.004    0.000 =\lib\site-packages\tensorflow_core\python\autograph\pyct\ast_util.py:63(copy_clean)
       62    0.000    0.000    0.000    0.000 =\lib\site-packages\tensorflow_core\python\training\tracking\layer_utils.py:33(has_weights)
        8    0.000    0.000    2.437    0.305 =\lib\site-packages\tensorflow_core\python\keras\optimizer_v2\optimizer_v2.py:644(iterations)
    33/29    0.000    0.000    0.000    0.000 =\lib\site-packages\tensorflow_core\python\autograph\pyct\templates.py:217(_convert_to_ast)
       31    0.000    0.000    0.002    0.000 =\lib\genericpath.py:16(exists)
        4    0.000    0.000    0.002    0.001 =\lib\site-packages\tensorflow_core\python\ops\math_ops.py:3101(sigmoid)
    19/16    0.000    0.000    0.000    0.000 =\lib\sre_compile.py:461(_get_literal_prefix)
        7    0.000    0.000    0.000    0.000 =\lib\site-packages\tensorflow_core\python\util\deprecation.py:191(_NewClass)
      113    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
       87    0.000    0.000    0.000    0.000 {built-in method sys._getframe}
     22/8    0.000    0.000    0.000    0.000 =\lib\site-packages\tensorflow_core\python\util\nest.py:621(_yield_flat_up_to)
      150    0.000    0.000    0.000    0.000 =\lib\site-packages\tensorflow_core\python\autograph\pyct\static_analysis\activity.py:255(_exit_scope)
        1    0.000    0.000    0.005    0.005 =\lib\site-packages\tensorflow_core\contrib\framework\python\ops\__init__.py:15(<module>)
        1    0.000    0.000    0.014    0.014 =\lib\site-packages\tensorflow_core\contrib\layers\python\layers\target_column.py:16(<module>)
        2    0.000    0.000    0.000    0.000 =\lib\site-packages\tensorflow_core\python\autograph\impl\conversion.py:264(_instantiate)
        1    0.000    0.000    0.001    0.001 =\lib\site-packages\tensorflow_core\contrib\learn\python\learn\graph_actions.py:21(<module>)
      160    0.000    0.000    0.000    0.000 {built-in method _pywrap_tensorflow_internal.IsTypeSpec}
        1    0.000    0.000    0.001    0.001 =\lib\site-packages\tensorflow_core\contrib\seq2seq\python\ops\attention_wrapper.py:15(<module>)
       20    0.000    0.000    0.000    0.000 =\lib\site-packages\tensorflow_core\python\eager\function.py:864(<listcomp>)
       11    0.000    0.000    0.010    0.001 =\lib\site-packages\tensorflow_core\python\autograph\pyct\static_analysis\reaching_definitions.py:206(visit_FunctionDef)
        1    0.000    0.000    0.013    0.013 =\lib\site-packages\tensorflow_core\contrib\tensor_forest\python\ops\model_ops.py:15(<module>)
        4    0.000    0.000    0.000    0.000 =\lib\site-packages\tensorflow_core\python\keras\optimizer_v2\optimizer_v2.py:226(__init__)
        1    0.000    0.000    0.000    0.000 =\lib\site-packages\tensorflow_core\contrib\layers\python\layers\rev_block_lib.py:23(<module>)
       33    0.000    0.000    0.004    0.000 =\lib\site-packages\tensorflow_core\python\autograph\pyct\templates.py:128(_prepare_replacement)
       35    0.000    0.000    0.000    0.000 =\lib\site-packages\tensorflow_core\contrib\framework\python\ops\arg_scope.py:100(_kwarg_names)
       17    0.000    0.000    0.002    0.000 =\lib\sre_compile.py:598(_code)
       40    0.000    0.000    0.000    0.000 =\lib\site-packages\tensorflow_core\python\eager\context.py:944(function_call_options)
        4    0.000    0.000    0.000    0.000 {built-in method _pywrap_tensorflow_internal.SetAttr}
    30/28    0.000    0.000    0.002    0.000 =\lib\site-packages\tensorflow_core\python\framework\func_graph.py:550(capture)
      203    0.000    0.000    0.000    0.000 =\lib\site-packages\tensorflow_core\python\util\tf_inspect.py:122(<genexpr>)
       24    0.000    0.000    0.000    0.000 =\lib\site-packages\gast\ast3.py:81(visit_Name)
       76    0.000    0.000    0.000    0.000 =\lib\site-packages\tensorflow_core\python\pywrap_tensorflow_internal.py:2577(IsMappingView)
        7    0.000    0.000    0.000    0.000 =\lib\site-packages\tensorflow_core\python\util\deprecation.py:395(_get_deprecated_positional_arguments)
        1    0.000    0.000    0.000    0.000 =\lib\site-packages\tensorflow_core\python\eager\context.py:797(config)
        4    0.000    0.000    0.174    0.044 =\lib\site-packages\tensorflow_core\python\eager\imperative_grad.py:32(imperative_grad)
        9    0.000    0.000    0.001    0.000 =\lib\textwrap.py:414(dedent)
        4    0.000    0.000    0.000    0.000 =\lib\site-packages\tensorflow_core\python\keras\optimizer_v2\adam.py:48(__init__)
        1    0.000    0.000    0.001    0.001 =\lib\site-packages\tensorflow_core\contrib\learn\python\learn\monitors.py:35(<module>)
        6    0.000    0.000    0.000    0.000 {built-in method _pywrap_tensorflow_internal.TF_GraphSetTensorShape_wrapper}
        4    0.000    0.000    0.000    0.000 =\lib\site-packages\tensorflow_core\python\util\module_wrapper.py:85(__init__)
       62    0.000    0.000    0.000    0.000 =\lib\site-packages\tensorflow_core\python\autograph\pyct\static_analysis\reaching_definitions.py:88(__ne__)
       72    0.000    0.000    0.000    0.000 =\lib\site-packages\tensorflow_core\python\distribute\distribute_lib.py:155(__init__)
        2    0.000    0.000    0.003    0.001 C:\Users\DANISH~1\AppData\Local\Temp\tmpbykxv5ua.py:10(tf___defun_call)
        1    0.000    0.000    0.629    0.629 =\lib\site-packages\tensorflow_core\python\autograph\pyct\inspect_utils.py:123(getimmediatesource)
       11    0.000    0.000    0.008    0.001 =\lib\site-packages\tensorflow_core\python\autograph\pyct\static_analysis\liveness.py:112(visit_FunctionDef)
       13    0.000    0.000    0.000    0.000 {built-in method _pywrap_tensorflow_internal.TF_GetOpList}
        1    0.000    0.000    0.000    0.000 =\lib\site-packages\tensorflow_core\contrib\image\ops\gen_distort_image_ops.py:4(<module>)
        1    0.000    0.000    0.001    0.001 =\lib\site-packages\tensorflow_core\contrib\distributions\python\ops\vector_diffeomixture.py:15(<module>)
        1    0.000    0.000    0.011    0.011 =\lib\site-packages\tensorflow_core\contrib\seq2seq\__init__.py:21(<module>)
        1    0.000    0.000    0.000    0.000 =\lib\site-packages\tensorflow_core\contrib\remote_fused_graph\pylib\python\ops\gen_remote_fused_graph_ops.py:4(<module>)
       16    0.000    0.000    0.000    0.000 {built-in method _pywrap_tensorflow_internal.TF_GraphGetTensorShapeHelper}
        1    0.000    0.000    0.000    0.000 =\lib\site-packages\tensorflow_core\python\estimator\estimator.py:19(<module>)
        8    0.000    0.000    0.000    0.000 =\lib\site-packages\tensorflow_core\python\ops\gradients_util.py:920(_AggregatedGrads)
    60/19    0.000    0.000    0.003    0.000 =\lib\site-packages\tensorflow_core\python\autograph\pyct\ast_util.py:41(<listcomp>)
       24    0.000    0.000    0.000    0.000 =\lib\site-packages\tensorflow_core\python\ops\math_grad.py:1081(_ShapesFullySpecifiedAndEqual)
        1    0.000    0.000    0.000    0.000 =\lib\site-packages\tensorflow_core\python\keras\api\_v1\keras\__init__.py:8(<module>)
        1    0.000    0.000    0.000    0.000 =\lib\site-packages\tensorflow_core\contrib\image\ops\gen_single_image_random_dot_stereograms_ops.py:4(<module>)
       26    0.000    0.000    0.000    0.000 =\lib\site-packages\tensorflow_core\python\util\tf_inspect.py:316(getfile)
        1    0.000    0.000    0.001    0.001 =\lib\site-packages\tensorflow_core\contrib\losses\python\losses\loss_ops.py:18(<module>)
       39    0.000    0.000    0.000    0.000 =\lib\site-packages\tensorflow_core\python\util\module_wrapper.py:35(get_rename_v2)
       77    0.000    0.000    0.000    0.000 =\lib\site-packages\google\protobuf\symbol_database.py:87(RegisterMessageDescriptor)
      194    0.000    0.000    0.000    0.000 {method 'remove' of 'set' objects}
        1    0.000    0.000    0.019    0.019 =\lib\site-packages\tensorflow_core\contrib\learn\python\learn\experiment.py:20(<module>)
        5    0.000    0.000    0.001    0.000 =\lib\inspect.py:680(getsourcefile)
        1    0.000    0.000    0.019    0.019 =\lib\site-packages\tensorflow_core\contrib\layers\python\layers\embedding_ops.py:15(<module>)
        1    0.000    0.000    0.001    0.001 =\lib\site-packages\tensorflow_core\contrib\factorization\python\ops\gmm.py:15(<module>)
       20    0.000    0.000    0.000    0.000 =\lib\site-packages\tensorflow_core\python\ops\resource_variable_ops.py:309(variable_accessed)
        4    0.000    0.000    0.009    0.002 =\lib\site-packages\tensorflow_core\python\eager\function.py:558(__init__)
      164    0.000    0.000    0.000    0.000 =\lib\site-packages\tensorflow_core\python\autograph\pyct\static_analysis\activity.py:79(affects_parent)
    36/33    0.000    0.000    0.000    0.000 =\lib\site-packages\astor\code_gen.py:77(set_precedence)
