Mon May 30 14:42:21 2022    profile.prof

         882669 function calls (823570 primitive calls) in 4.464 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    770/7    0.003    0.000    0.626    0.089 <frozen importlib._bootstrap>:663(_load_unlocked)
      512    0.003    0.000    0.013    0.000 =\lib\site-packages\tensorflow_core\python\framework\ops.py:2379(get_attr)
      194    0.003    0.000    0.018    0.000 =\lib\site-packages\tensorflow_core\python\framework\ops.py:1581(_create_c_op)
    24851    0.003    0.000    0.003    0.000 {method 'append' of 'list' objects}
       20    0.003    0.000    1.067    0.053 =\lib\site-packages\tensorflow_core\python\keras\engine\network.py:769(_run_internal_graph)
     7102    0.003    0.000    0.003    0.000 {method 'join' of 'str' objects}
       59    0.003    0.000    0.007    0.000 =\lib\collections\__init__.py:316(namedtuple)
      164    0.003    0.000    0.006    0.000 =\lib\site-packages\tensorflow_core\python\framework\ops.py:6147(dismantle_graph)
     3822    0.003    0.000    0.010    0.000 =\lib\contextlib.py:237(helper)
     1933    0.003    0.000    0.003    0.000 {built-in method _thread.allocate_lock}
      694    0.003    0.000    0.012    0.000 =\lib\site-packages\tensorflow_core\python\util\nest.py:475(map_structure)
     2103    0.003    0.000    0.005    0.000 =\lib\site-packages\tensorflow_core\python\framework\ops.py:5466(get_default)
      878    0.003    0.000    0.003    0.000 {method 'CopyFrom' of 'google.protobuf.pyext._message.CMessage' objects}
      658    0.003    0.000    0.013    0.000 =\lib\site-packages\tensorflow_core\python\framework\ops.py:1263(internal_convert_to_tensor)
     3223    0.003    0.000    0.004    0.000 =\lib\site-packages\tensorflow_core\python\eager\context.py:1601(executing_eagerly)
      547    0.003    0.000    0.005    0.000 =\lib\site-packages\tensorflow_core\python\util\tf_decorator.py:67(make_decorator)
      168    0.002    0.000    0.008    0.000 =\lib\site-packages\tensorflow_core\python\ops\resource_variable_ops.py:320(__init__)
      504    0.002    0.000    0.095    0.000 =\lib\site-packages\tensorflow_core\python\util\deprecation.py:473(new_func)
10930/10923    0.002    0.000    0.003    0.000 {built-in method builtins.setattr}
     2466    0.002    0.000    0.003    0.000 {built-in method _pywrap_tensorflow_internal.Flatten}
    13288    0.002    0.000    0.003    0.000 {method 'get' of 'dict' objects}
      968    0.002    0.000    0.140    0.000 =\lib\site-packages\tensorflow_core\python\eager\backprop.py:116(_gradient_function)
     2866    0.002    0.000    0.003    0.000 =\lib\enum.py:289(__call__)
      710    0.002    0.000    0.002    0.000 {built-in method _pywrap_tensorflow_internal.TF_SetAttrValueProto}
     1316    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap>:103(release)
      384    0.002    0.000    0.002    0.000 {method 'ByteSize' of 'google.protobuf.pyext._message.CMessage' objects}
     1310    0.002    0.000    0.004    0.000 =\lib\site-packages\tensorflow_core\python\framework\ops.py:6378(enter_eager_name_scope)
      730    0.002    0.000    0.005    0.000 =\lib\functools.py:37(update_wrapper)
      192    0.002    0.000    0.063    0.000 =\lib\site-packages\tensorflow_core\python\framework\ops.py:3373(_create_op_internal)
     1316    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:78(acquire)
      164    0.002    0.000    0.002    0.000 {built-in method _pywrap_tensorflow_internal.TF_DeleteGraph}
     1015    0.002    0.000    0.002    0.000 {method 'match' of 're.Pattern' objects}
2512/2248    0.002    0.000    2.440    0.001 =\lib\site-packages\tensorflow_core\python\keras\optimizer_v2\optimizer_v2.py:536(__getattribute__)
       10    0.002    0.000    0.002    0.000 {method 'AddSerializedFile' of 'google.protobuf.pyext._message.DescriptorPool' objects}
      396    0.002    0.000    0.003    0.000 =\lib\inspect.py:2750(__init__)
     3890    0.002    0.000    0.003    0.000 =\lib\site-packages\tensorflow_core\python\framework\dtypes.py:690(as_dtype)
    770/7    0.002    0.000    0.626    0.089 <frozen importlib._bootstrap_external>:722(exec_module)
      719    0.002    0.000    0.002    0.000 {method 'SerializeToString' of 'google.protobuf.pyext._message.CMessage' objects}
      777    0.002    0.000    0.151    0.000 <frozen importlib._bootstrap_external>:1240(_get_spec)
      770    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:574(spec_from_file_location)
      180    0.002    0.000    0.023    0.000 =\lib\site-packages\tensorflow_core\python\util\tf_inspect.py:260(getcallargs)
  402/396    0.002    0.000    0.021    0.000 =\lib\inspect.py:2198(_signature_from_callable)
1888/1614    0.002    0.000    0.002    0.000 =\lib\site-packages\tensorflow_core\python\util\module_wrapper.py:155(__getattribute__)
      209    0.002    0.000    0.020    0.000 <frozen importlib._bootstrap_external>:1404(_fill_cache)
     1740    0.002    0.000    0.003    0.000 =\lib\site-packages\tensorflow_core\python\pywrap_tensorflow_internal.py:39(_swig_setattr_nondynamic)
      904    0.002    0.000    0.002    0.000 =\lib\_collections_abc.py:742(__iter__)
     5699    0.002    0.000    0.002    0.000 =\lib\site-packages\tensorflow_core\python\eager\context.py:656(executing_eagerly)
      993    0.002    0.000    0.003    0.000 =\lib\os.py:676(__getitem__)
    18165    0.002    0.000    0.002    0.000 {method 'rstrip' of 'str' objects}
      180    0.002    0.000    0.003    0.000 =\lib\site-packages\tensorflow_core\python\framework\tensor_shape.py:1174(as_proto)
     3180    0.002    0.000    0.123    0.000 <frozen importlib._bootstrap_external>:74(_path_stat)
      663    0.002    0.000    0.020    0.000 =\lib\site-packages\tensorflow_core\python\framework\constant_op.py:230(_constant_impl)
      744    0.002    0.000    0.002    0.000 {method 'splitlines' of 'str' objects}
     3108    0.002    0.000    0.003    0.000 =\lib\site-packages\tensorflow_core\python\eager\context.py:1044(post_execution_callbacks)
      769    0.002    0.000    0.044    0.000 <frozen importlib._bootstrap_external>:523(_compile_bytecode)
      209    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1319(__init__)
     6034    0.002    0.000    0.003    0.000 =\lib\enum.py:615(__hash__)
      180    0.002    0.000    0.267    0.001 =\lib\site-packages\tensorflow_core\python\keras\layers\core.py:1035(call)
      769    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:438(_classify_pyc)
      728    0.002    0.000    0.005    0.000 =\lib\site-packages\tensorflow_core\python\framework\tensor_shape.py:743(__init__)
     2128    0.002    0.000    0.002    0.000 =\lib\site-packages\tensorflow_core\python\framework\ops.py:912(dtype)
       80    0.002    0.000    0.023    0.000 =\lib\site-packages\tensorflow_core\python\ops\array_ops.py:658(_slice_helper)
   471/57    0.002    0.000    0.615    0.011 {built-in method builtins.__import__}
     1573    0.002    0.000    0.055    0.000 <frozen importlib._bootstrap_external>:84(_path_is_mode_type)
      411    0.002    0.000    0.018    0.000 =\lib\site-packages\tensorflow_core\python\util\decorator_utils.py:76(add_notice_to_docstring)
      148    0.002    0.000    0.039    0.000 =\lib\site-packages\tensorflow_core\python\ops\array_ops.py:2303(zeros)
     1087    0.002    0.000    0.002    0.000 =\lib\site-packages\tensorflow_core\python\framework\tensor_shape.py:184(__init__)
      392    0.002    0.000    0.005    0.000 =\lib\site-packages\tensorflow_core\python\pywrap_tensorflow_internal.py:1461(__init__)
      220    0.001    0.000    0.005    0.000 =\lib\site-packages\tensorflow_core\python\keras\engine\base_layer.py:1947(_set_mask_metadata)
      512    0.001    0.000    0.001    0.000 {built-in method _pywrap_tensorflow_internal.TF_OperationGetAttrValueProto}
     2103    0.001    0.000    0.006    0.000 =\lib\site-packages\tensorflow_core\python\framework\ops.py:5872(get_default_graph)
      194    0.001    0.000    0.004    0.000 =\lib\site-packages\tensorflow_core\python\framework\ops.py:3476(_create_op_helper)
     1208    0.001    0.000    0.003    0.000 =\lib\site-packages\tensorflow_core\python\framework\ops.py:6366(__exit__)
     1348    0.001    0.000    0.002    0.000 =\lib\site-packages\tensorflow_core\python\eager\context.py:635(_mode)
      364    0.001    0.000    0.023    0.000 =\lib\site-packages\tensorflow_core\python\util\deprecation.py:308(deprecated_wrapper)
     2466    0.001    0.000    0.006    0.000 =\lib\site-packages\tensorflow_core\python\util\nest.py:232(flatten)
     8039    0.001    0.000    0.002    0.000 {method 'add' of 'set' objects}
      770    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:318(__exit__)
     6642    0.001    0.000    0.001    0.000 {method 'startswith' of 'str' objects}
      770    0.001    0.000    0.019    0.000 <frozen importlib._bootstrap>:576(module_from_spec)
9724/9132    0.001    0.000    0.002    0.000 {built-in method builtins.hash}
      101    0.001    0.000    0.002    0.000 =\lib\site-packages\tensorflow_core\python\util\all_util.py:54(<listcomp>)
   471/33    0.001    0.000    0.004    0.000 =\lib\site-packages\tensorflow_core\python\autograph\pyct\ast_util.py:37(copy)
      441    0.001    0.000    0.004    0.000 =\lib\tokenize.py:487(_tokenize)
     1387    0.001    0.000    0.003    0.000 {built-in method _abc._abc_instancecheck}
      790    0.001    0.000    0.007    0.000 =\lib\site-packages\tensorflow_core\python\util\nest.py:417(pack_sequence_as)
    11777    0.001    0.000    0.001    0.000 =\lib\site-packages\tensorflow_core\python\eager\context.py:1576(context_safe)
  625/135    0.001    0.000    0.001    0.000 {built-in method _abc._abc_subclasscheck}
     1425    0.001    0.000    0.002    0.000 =\lib\site-packages\tensorflow_core\python\util\compat.py:48(as_bytes)
     6810    0.001    0.000    0.001    0.000 {built-in method builtins.min}
